Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
duckplyr	2025-02-21	Kirill Müller	censobr	1	2025-02-27 04:25:15.773988
GDILM.SEIRS	2025-02-24	Amin Abed		0	2025-02-27 04:25:15.773988
readxl	2025-02-27	Jennifer Bryan	ABSurvTDC, accucor, aelab, AgroTech, AHPWR, aire.zmvm, allMT, amanida, amerifluxr, AvInertia, aweSOM, baizer, batchLLM, BayesianFitForecast, baytrends, bcdata, bestSDP, BGVAR, bibliometrix, bndesr, bootf2, BrazilMet, breathtestcore, bulkreadr, capl, carbonr, CCWeights, ceas, cepumd, cgmanalysis, ChestVolume, chillR, chromConverter, CMapViz, CoastlineFD, COINr, concatipede, covid19.analytics, COVIDIBGE, covidmx, crosswalkr, dafishr, dams, DataLoader, datamods, datazoom.amazonia, dbGaPCheckup, DCEtool, DDIwR, defineR, dendRoAnalyst, DescTools, dextergui, DIFshiny, DistatisR, dmtools, dosedesignR, drawsample, duawranglr, easyr, ECOTOXr, EdSurvey, eHDPrep, eirm, epe4md, eph, epitweetr, esaps, excel2eprime, exceldata, expDB, extractox, fabR, FAST.R, FastRet, fetch, fio, fitPS, flattabler, forgts, formods, FSK2R, GeoWeightedModel, GetTDData, GGIRread, ggplotgui, GiniDistance, goat, GOLDprice, googlePublicData, greenfeedr, Greymodels, growthPheno, GWSDAT, HaDeX, hclusteasy, Holomics, hosm, htrSPRanalysis, htsr, hydrotoolbox, hydroToolkit, icertool, ideanet, IDEATools, IDSL.CSA, IDSL.IPA, IDSL.NPA, IDSL.UFA, IDSL.UFAx, ie2misc, ifo, ifpd, IGoRRR, ihpdr, imageData, immunarch, ImportExport, InflectSSP, insane, INSPECTumours, interca, InterVA5, iotables, irtawsi, irtGUI, isobxr, ISRaD, istat, joinXL, jsmodule, jubilee, knfi, KoboconnectR, lavaangui, LearningStats, lehuynh, libr, loadeR, logib, ltertools, maat, macrocol, MassWateR, matriz, mcmsupply, MDMAPR, metacore, MFO, microbiomeMQC, micromapST, miniMeta, mintyr, mipplot, miRetrieve, mlms, modgetxl, moodef, netShiny, novelqualcodes, ntdr, oglcnac, OlinkAnalyze, oncmap, One4All, onmaRg, opendatatoronto, OpenMindat, pacta.multi.loanbook, PAMhm, papci, pdi, pedquant, PerRegMod, PesticideLoadIndicator, PhageCocktail, photobiologyInOut, pioneeR, PNADcIBGE, PNDSIBGE, PNSIBGE, PODES, Poly4AT, pressuRe, prior3D, PUPMCR, puzzle, pxmake, qrlabelr, QTL.gCIMapping, qualitycontrol, QuICSeedR, QurvE, radiant.data, ramlegacy, rb3, rbiom, RBNZ, RcmdrMisc, Rdiagnosislist, RDML, readabs, readit, readmoRe, readrba, readtext, reappraised, regions, Relectoral, replicateBE, rexer, rio, RJafroc, RLumShiny, rodeo, rsurveycto, Rtrack, SAKERNAS, SangerTools, scan, scbursts, scdhlm, scicomptools, SDAR, sdtmval, SEAHORS, secuTrialR, SemNetCleaner, sendigR, shinyHeatmaply, shinyIRT, ShinyLink, sivirep, SoilManageR, SomaDataIO, sphereML, spiro, SQI, SqueakR, SUSENAS, tab2xml, tall, TestGenerator, threesixtygiving, tidyDenovix, tidygapminder, tidyplate, tidyquant, tidytlg, tidyverse, toxEval, tpfp, TR8, Trading, treasury, tRigon, ubiquity, unheadr, upstartr, uscoauditlog, vcdExtra, VectorCodeR, visvaR, visvow, vvmover, weed, whippr, ypssc, PvSTATEM, quicR, FAMetA, somhca, plutor, bcmaps, PWIR, tosr, breathteststan, decisionSupport, piecenorms, SIPDIBGE, esquisse, moreparty, safetyGraphics, vvdoctor, ANOVAShiny, ANOVAShiny2, AntibodyTiters, atable, bfsMaps, CAESAR.Suite, catfun, CGPfunctions, ClusTCR2, covalchemy, cryptography, dad, DescrTab2, DescToolsAddIns, DGEAR, drugprepr, DynForest, epifitter, EQUALrepeat, EQUALSTATS, gerbil, giniCI, gosset, HLAtools, InteRD, jack, LorMe, matRiks, mcradds, meteo, miceRanger, mlmts, ModTools, morphomap, mrbayes, MRMCbinary, negligible, nmrrr, npcurePK, parTimeROC, pbANOVA, pointRes, popstudy, ProAE, qspray, rcompanion, RGMM, robin, RobRegression, rties, SEIRfansy, Semblance, sevenbridges2, smvgraph, SSHAARP, ssMRCD, tabxplor, tidyrules, TipDatingBeast, Toothnroll, tspredit, vannstats, WaverideR, wrappedtools, xgxr, tidyEdSurvey, banffIT, madshapR, mlstrOpalr, Rmonize, ruminate, actilifecounts, GGIR, InSilicoVA, openVA, sassy, discoveR, predictoR, regressoR, metatools, QTL.gCIMapping.GUI, radiant, radiant.basics, radiant.design, radiant.model, radiant.multivariate, brsim, CAinterprTools, mpae, Rcmdr, RcmdrPlugin.cpd, RcmdrPlugin.DoE, RcmdrPlugin.EACSPIR, RcmdrPlugin.GWRM, shinyMolBio, daiR, textAnnotatoR, warabandi, eurostat, AdverseEvents, boxr, bruceR, childfree, cloudstoR, dataquieR, DistPlotter, dpmr, editData, epiCleanr, estadistica, ExPanDaR, framecleaner, genogeographer, gesisdata, heterogen, importinegi, kibior, metaConvert, mmstat4, NormalityAssessment, octopus, pewdata, PRISMA2020, psData, ropercenter, rUM, sysAgNPs, tfrmtbuilder, welo, treespace, scplot, sweep, archetyper, ARGOS, cgmquantify, chatRater, CondiS, CopSens, crops, crt2power, CSCNet, datamedios, dbglm, div, doublIn, dplyrAssist, drimmR, dumbbell, DYNATE, EntropicStatistics, EpiSemble, foodwebWrapper, GB5mcPred, ggESDA, ggplotAssist, ggtaxplot, hdpGLM, hlaR, ImFoR, ImVol, JAGStree, LipidomicsR, MAGMA.R, margaret, markowitz, metaprotr, MF.beta4, mispitools, mosaicModel, mulea, nonet, oncoPredict, OpEnHiMR, OpenRepGrid.ic, optimos.prime, PEIMAN2, phrases, polimetrics, PSIM, RanglaPunjab, ReSurv, Ricrt, ridigbio, rnaCrosslinkOO, RobinCar, RQdeltaCT, ShapleyValue, SPARSEMODr, StanMoMo, statVisual, studyStrap, surveyPrev, SurvHiDim, touRnamentofchampions, transPlotR, tswge, Tushare, UKB.COVID19, UniprotR, UpAndDownPlots, usfertilizer, WeatherSentiment, windows.pls, WinRatio, iarm, jmv, ChineseNames, PsychWordVec, TestAnaAPP, cpop, TVMM, rrtable, shinyrecipes, ARPALData, convergEU, qPRAentry, autostats, presenter, tidybins, TidyConsultant, validata, agcounts, mMARCH.AC, postGGIR, FuzzyImputationTest, forensIT, polyhedralCubature, ratioOfQsprays, resultant, symbolicQspray, BiodiversityR, fingerPro, RcmdrPlugin.aRnova, RcmdrPlugin.BiclustGUI, RcmdrPlugin.BWS1, RcmdrPlugin.BWS2, RcmdrPlugin.BWS3, RcmdrPlugin.DCCV, RcmdrPlugin.DCE, RcmdrPlugin.depthTools, RcmdrPlugin.EBM, RcmdrPlugin.EcoVirtual, RcmdrPlugin.Export, RcmdrPlugin.EZR, RcmdrPlugin.FactoMineR, RcmdrPlugin.HH, RcmdrPlugin.KMggplot2, RcmdrPlugin.MA, RcmdrPlugin.MPAStats, RcmdrPlugin.NMBU, RcmdrPlugin.orloca, RcmdrPlugin.PcaRobust, RcmdrPlugin.RiskDemo, RcmdrPlugin.RMTCJags, RcmdrPlugin.ROC, RcmdrPlugin.sos, RcmdrPlugin.survival, RcmdrPlugin.TeachingDemos, RcmdrPlugin.TeachStat, RcmdrPlugin.temis, RcmdrPlugin.UCA, RcmdrPlugin.WorldFlora, AgroReg, EasyDescribe, voiceR, gatoRs, spocc, practicalSigni, anomalize, ggfacto, ProtE, nlmixr2plot, AlleleShift, nlmixr2, webr, rangeModelMetadata, wallace, babelmixr2, nlmixr2rpt, shinyMixR, ENMeval, ENMTools	566	2025-02-27 04:25:15.773988
spectralGraphTopology	2025-02-28	Ze Vinicius	finbipartite, fingraph	2	2025-02-27 04:25:15.773988
rllama	2025-03-01	Alexey Ivanov		0	2025-02-27 04:25:15.773988
skellam	2025-03-02	Patrick E. Brown	MLE, PINstimation, powerHE	3	2025-02-27 04:25:15.773988
adelie	2025-03-02	Trevor Hastie		0	2025-02-27 04:25:15.773988
BCDAG	2025-03-02	Alessandro Mascaro		0	2025-02-27 04:25:15.773988
censobr	2025-03-02	Rafael H. M. Pereira		0	2025-02-27 04:25:15.773988
ebvcube	2025-03-02	Luise Quoss		0	2025-02-27 04:25:15.773988
