Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
gdm	2025-03-24	Matt Fitzpatrick		0	2025-03-30 10:19:56.266247
hacksig	2025-03-26	Andrea Carenzo		0	2025-03-30 10:19:56.266247
retistruct	2025-03-26	David C. Sterratt		0	2025-03-30 10:19:56.266247
coppeCosenzaR	2025-03-29	Pier Taranti		0	2025-03-30 10:19:56.266247
Trading	2025-03-29	Tasos Grivas		0	2025-03-30 10:19:56.266247
tswge	2025-03-29	Bivin Sadler		0	2025-03-30 10:19:56.266247
bayesPop	2025-03-30	Hana Sevcikova		0	2025-03-30 10:19:56.266247
easycsv	2025-03-30	Dror Bogin		0	2025-03-30 10:19:56.266247
hilldiv	2025-03-30	Antton Alberdi		0	2025-03-30 10:19:56.266247
TestGenerator	2025-03-30	Cesar Barboza		0	2025-03-30 10:19:56.266247
divvy	2025-03-31	Gawain Antell		0	2025-03-30 10:19:56.266247
MethEvolSIM	2025-03-31	Sara Castillo Vicente		0	2025-03-30 10:19:56.266247
spqdep	2025-03-31	Fernando Lopez		0	2025-03-30 10:19:56.266247
tabnet	2025-04-01	Christophe Regouby		0	2025-03-30 10:19:56.266247
brulee	2025-04-02	Max Kuhn		0	2025-03-30 10:19:56.266247
crplyr	2025-04-02	Greg Freedman Ellis		0	2025-03-30 10:19:56.266247
stelfi	2025-04-02	Charlotte M. Jones-Todd		0	2025-03-30 10:19:56.266247
DataCombine	2025-04-03	Christopher Gandrud		0	2025-03-30 10:19:56.266247
glmmTMB	2025-04-03	Mollie Brooks		0	2025-03-30 10:19:56.266247
hacksaw	2025-04-03	David Ranzolin		0	2025-03-30 10:19:56.266247
opendatatoronto	2025-04-03	Sharla Gelfand		0	2025-03-30 10:19:56.266247
PKPDsim	2025-04-03	Ron Keizer		0	2025-03-30 10:19:56.266247
Rcrawler	2025-04-03	Salim Khalil		0	2025-03-30 10:19:56.266247
sasr	2025-04-04	Liming Li		0	2025-03-30 10:19:56.266247
adespatial	2025-04-05	Aurélie Siberchicot		0	2025-03-30 10:19:56.266247
AlgDesign	2025-04-05	Jerome Braun		0	2025-03-30 10:19:56.266247
ARTool	2025-04-05	Matthew Kay		0	2025-03-30 10:19:56.266247
C50	2025-04-05	Max Kuhn		0	2025-03-30 10:19:56.266247
cbcTools	2025-04-05	John Helveston		0	2025-03-30 10:19:56.266247
CohensdpLibrary	2025-04-05	Denis Cousineau		0	2025-03-30 10:19:56.266247
Cubist	2025-04-05	Max Kuhn		0	2025-03-30 10:19:56.266247
DiNAMIC.Duo	2025-04-05	Vonn Walter		0	2025-03-30 10:19:56.266247
distillML	2025-04-05	Theo Saarinen		0	2025-03-30 10:19:56.266247
dnapath	2025-04-05	Tyler Grimes		0	2025-03-30 10:19:56.266247
GOxploreR	2025-04-05	Kalifa Manjang		0	2025-03-30 10:19:56.266247
leidenbase	2025-04-05	Brent Ewing		0	2025-03-30 10:19:56.266247
osdatahub	2025-04-05	Chris Jochem		0	2025-03-30 10:19:56.266247
PublicWorksFinanceIT	2025-04-05	Lorena Ricciotti		0	2025-03-30 10:19:56.266247
RAMClustR	2025-04-05	Helge Hecht		0	2025-03-30 10:19:56.266247
RCPA	2025-04-05	Ha Nguyen		0	2025-03-30 10:19:56.266247
RMSD	2025-04-05	Kazumi Wada		0	2025-03-30 10:19:56.266247
Rtwobitlib	2025-04-05	Hervé Pagès		0	2025-03-30 10:19:56.266247
sdmTMB	2025-04-05	Sean C. Anderson		0	2025-03-30 10:19:56.266247
sgat	2025-04-05	Matias Poullain		0	2025-03-30 10:19:56.266247
smooth	2025-04-05	Ivan Svetunkov		0	2025-03-30 10:19:56.266247
SplitSoftening	2025-04-05	Jakub Dvorak		0	2025-03-30 10:19:56.266247
symengine	2025-04-05	Jialin Ma		0	2025-03-30 10:19:56.266247
terra	2025-04-05	Robert J. Hijmans		0	2025-03-30 10:19:56.266247
jlme	2025-04-06	June Choe		0	2025-03-30 10:19:56.266247
ncaavolleyballr	2025-04-06	Jeffrey R. Stevens		0	2025-03-30 10:19:56.266247
pcatsAPIclientR	2025-04-07	Michal Kouril		0	2025-03-30 10:19:56.266247
popdemo	2025-04-07	Iain Stott		0	2025-03-30 10:19:56.266247
rtweet	2025-04-07	Lluís Revilla Sancho		0	2025-03-30 10:19:56.266247
skellam	2025-04-07	Patrick E. Brown		0	2025-03-30 10:19:56.266247
wikiTools	2025-04-07	Modesto Escobar		0	2025-03-30 10:19:56.266247
adlift	2025-04-09	Matt Nunes		0	2025-03-30 10:19:56.266247
BonEV	2025-04-09	Dongmei Li		0	2025-03-30 10:19:56.266247
crunchy	2025-04-09	Greg Freedman Ellis		0	2025-03-30 10:19:56.266247
hsphase	2025-04-09	Mohammad Ferdosi		0	2025-03-30 10:19:56.266247
io	2025-04-09	David J. H. Shih		0	2025-03-30 10:19:56.266247
pak	2025-04-09	Gábor Csárdi		0	2025-03-30 10:19:56.266247
Rfast2	2025-04-09	Manos Papadakis		0	2025-03-30 10:19:56.266247
CAESAR.Suite	2025-04-10	Xiao Zhang		0	2025-03-30 10:19:56.266247
FKF.SP	2025-04-10	Thomas Aspinall		0	2025-03-30 10:19:56.266247
healthdb	2025-04-10	Kevin Hu		0	2025-03-30 10:19:56.266247
inferCSN	2025-04-10	Meng Xu		0	2025-03-30 10:19:56.266247
synlik	2025-04-10	Matteo Fasiolo		0	2025-03-30 10:19:56.266247
analogue	2025-04-11	Gavin L. Simpson		0	2025-03-30 10:19:56.266247
cocorresp	2025-04-11	Gavin L. Simpson		0	2025-03-30 10:19:56.266247
doRNG	2025-04-11	Renaud Gaujoux		0	2025-03-30 10:19:56.266247
FLASHMM	2025-04-11	Changjiang Xu		0	2025-03-30 10:19:56.266247
geofi	2025-04-11	Markus Kainu		0	2025-03-30 10:19:56.266247
gmwmx2	2025-04-11	Lionel Voirol		0	2025-03-30 10:19:56.266247
winfapReader	2025-04-11	Ilaria Prosdocimi		0	2025-03-30 10:19:56.266247
innsight	2025-04-12	Niklas Koenen		0	2025-03-30 10:19:56.266247
partsm	2025-04-12	Matthieu Stigler		0	2025-03-30 10:19:56.266247
